PlayerId,Goals,Assists,Points,Corsi,Fenwick,Giveaways,Takeaways,FaceoffsWon,FaceoffWonPct,Hits,HitNet,Penalties,PenaltyNet,PenaltyMinutes,OZS%,DZS%,Fights,XmedianBlocker,XmedianDrewBy,XmedianGiveaway,XmedianHittee,XmedianHitter,XmedianPenaltyOn,XmedianShooter,XmedianTakeaway,YmedianBlocker,YmedianDrewBy,YmedianGiveaway,YmedianHittee,YmedianHitter,YmedianPenaltyOn,YmedianShooter,YmedianTakeaway,Backhand,Deflected,Slap,Snap,TipIn,Wraparound,Wrist,Blocks,PlusMinus,PP%,SH%,EV%,OT%,5v5%,GoalsCreated,TOI,5v5 TOI,height,weight,NumOtherPenaltyOn,NumPhysicalDrewBy,NumPhysicalPenaltyOn,NumRestrainingDrewBy,NumRestrainingPenaltyOn,NumStickDrewBy,NumStickPenaltyOn,NumOtherDrewBy,S%,Thru%,CorsiOn,CF%,CF%Rel,FenwickOn,FF%,FF%Rel,xGOn,xG%,xG%Rel,Goals_xg,xG,EV_Goals,EV_xG,PP_Goals,PP_xG,SH_Goals,SH_xG,EN_Goals,EN_xG
8474564.0,42.0,64.0,106.0,401.0,323.0,24.0,30.0,545.0,0.5102996254681648,93.0,17.0,18.0,8.0,56.0,0.5188794153471377,0.48112058465286234,0.0,-68.0,33.0,32.5,57.0,33.0,-29.0,69.0,7.0,-3.0,-1.0,23.5,13.5,12.0,1.5,10.0,-5.0,18.0,3.0,136.0,58.0,11.0,1.0,174.0,31.0,24.0,0.7103540730226323,0.07624006134721718,0.28505955220655094,0.5170212765957447,0.28458277507512714,39.6286980219956,91759.0,67332.0,73.0,193.0,1.0,1.0,3.0,5.0,10.0,4.0,4.0,0.0,0.17427385892116182,0.600997506234414,40.0,0.5101214574898786,0.002181718076197825,34.0,0.5110966057441253,-9.146031874096572e-05,5.9592474777000035,0.5311856598263788,0.008550035925496524,42,31.235557556152344,25.0,14.458015,15.0,15.045763,0.0,0.0,2.0,1.7317792
8477496.0,42.0,40.0,82.0,381.0,310.0,41.0,55.0,842.0,0.5288944723618091,66.0,4.0,10.0,-4.0,50.0,0.5103030303030303,0.4896969696969697,0.0,-66.0,60.5,6.0,41.0,-33.0,11.0,71.0,-35.0,-3.0,-1.5,-15.0,-8.5,-11.0,-19.5,-1.0,-5.0,13.0,7.0,31.0,60.0,46.0,1.0,223.0,52.0,61.0,0.6044699872286079,0.4111339885785323,0.2954466877326708,0.7814641182834475,0.29161608403736095,34.00140792141462,100439.0,70623.0,73.0,195.0,0.0,0.0,2.0,11.0,6.0,3.0,2.0,0.0,0.17796610169491525,0.6194225721784777,264.0,0.5598368087035358,0.005964754831481955,187.0,0.5550323719835197,0.003912605673879965,20.661724359200008,0.595740596652505,0.06604236880264447,42,31.74073600769043,28.0,19.892221,12.0,9.815511,1.0,0.51473564,1.0,1.518269
8479337.0,41.0,37.0,78.0,470.0,354.0,47.0,67.0,24.0,0.375,101.0,-14.0,8.0,-16.0,70.0,0.4925775978407557,0.5074224021592443,1.0,-55.0,52.5,-31.0,48.0,81.0,-25.0,69.0,1.0,5.0,23.0,19.0,34.0,18.0,5.5,5.0,4.0,13.0,8.0,71.0,77.0,12.0,1.0,288.0,35.0,-13.0,0.7112583310053079,0.14690697888817184,0.32248732348721676,0.7182175622542595,0.31982578979777426,31.396396136718717,105895.0,78428.0,67.0,165.0,0.0,2.0,1.0,19.0,6.0,3.0,1.0,0.0,0.15185185185185185,0.574468085106383,-57.0,0.4878671775223499,0.04096810982879501,-39.0,0.48877374784110533,0.04317643993308512,1.2436431793999958,0.5061918824279869,0.06581833950986776,41,35.306793212890625,22.0,19.16601,16.0,12.026147,0.0,0.8931467,3.0,3.2214909
8480027.0,41.0,38.0,79.0,400.0,293.0,50.0,48.0,0.0,0.0,50.0,-18.0,11.0,4.0,38.0,0.4971751412429379,0.5028248587570622,0.0,-60.0,58.0,8.5,46.0,68.5,14.0,70.0,18.5,-2.0,9.0,7.0,35.0,24.0,-27.0,-0.0,9.0,21.0,8.0,17.0,44.0,27.0,7.0,276.0,24.0,16.0,0.5648597242035188,0.0009280995796254845,0.2970625853584513,0.5425946547884187,0.29962668759951655,31.835710862625653,82361.0,67179.0,75.0,200.0,1.0,0.0,1.0,4.0,8.0,3.0,1.0,0.0,0.18636363636363637,0.55,245.0,0.5568445475638051,0.09465049161974914,191.0,0.5592064476131432,0.09583486773670896,19.5839757384,0.5971866186562531,0.11492756745175381,41,28.69614028930664,24.0,17.190065,15.0,8.634088,0.0,0.0,2.0,2.8719873
8477956.0,40.0,37.0,77.0,560.0,438.0,77.0,36.0,7.0,0.3333333333333333,63.0,-24.0,10.0,-12.0,64.0,0.5097222222222222,0.49027777777777776,0.0,-55.0,71.5,41.0,47.0,62.0,43.5,64.0,14.0,-5.0,3.5,-1.0,0.0,-20.0,16.0,3.0,-8.0,20.0,7.0,150.0,80.0,9.0,2.0,292.0,14.0,13.0,0.7543591764358192,0.004969778374748153,0.2970572767806105,0.4791666666666667,0.2948241809126905,30.989589551626835,81397.0,62396.0,72.0,195.0,0.0,1.0,4.0,13.0,3.0,8.0,3.0,0.0,0.1282051282051282,0.5571428571428572,307.0,0.5815188528943176,0.05948028540120465,268.0,0.5914051841746248,0.05435174455254044,14.593765913700011,0.5902530889105929,0.03396243816246902,40,30.53911018371582,24.0,16.661255,15.0,12.452492,0.0,0.0,1.0,1.4253643
8477404.0,40.0,44.0,84.0,434.0,348.0,23.0,41.0,13.0,0.52,72.0,-82.0,21.0,-8.0,102.0,0.5111896348645465,0.48881036513545345,0.0,-60.5,76.0,37.0,76.5,57.5,-1.0,72.0,29.0,6.0,2.0,2.0,11.5,0.0,-0.0,0.0,5.0,21.0,13.0,33.0,55.0,43.0,8.0,261.0,38.0,13.0,0.7177886956136856,0.01774201867038011,0.3184140999054295,0.6289127837514934,0.31620308818302684,32.98316371682639,94276.0,72063.0,71.0,180.0,2.0,5.0,1.0,15.0,12.0,9.0,6.0,0.0,0.15151515151515152,0.6082949308755761,163.0,0.5343736819907212,0.022973030524923166,103.0,0.528281164195497,0.002040434018657278,8.5079034926,0.5364926835582594,-0.0012045550691331952,40,39.715240478515625,26.0,22.883759,8.0,11.777977,0.0,0.0,6.0,5.0535035
8476346.0,40.0,75.0,115.0,463.0,348.0,81.0,50.0,1.0,1.0,10.0,-29.0,9.0,-15.0,72.0,0.5098280098280098,0.49017199017199015,0.0,-62.0,68.0,37.0,38.0,-7.0,-6.0,69.0,31.5,8.0,1.0,3.0,30.0,21.0,11.0,6.0,6.5,40.0,2.0,56.0,44.0,18.0,4.0,299.0,9.0,64.0,0.6177096636866751,0.011110679460782409,0.3079174405609025,0.7371078254597908,0.305040094475964,42.78445162656277,93432.0,73874.0,69.0,165.0,2.0,1.0,2.0,10.0,3.0,11.0,2.0,2.0,0.15267175572519084,0.5658747300215983,318.0,0.5680068434559452,0.017949306056635694,231.0,0.5640599001663894,0.017106853213342488,23.30639102949999,0.6038684016370032,0.07947601695808615,40,31.84572029113769,28.0,20.457329,6.0,7.5576415,0.0,0.0,6.0,3.8307507
8477493.0,39.0,49.0,88.0,340.0,274.0,51.0,59.0,713.0,0.5694888178913738,50.0,-22.0,9.0,1.0,37.0,0.5097087378640777,0.49029126213592233,0.0,-70.5,65.5,28.0,49.5,-18.0,-4.0,71.0,-31.0,0.0,1.5,3.0,16.0,2.5,-3.0,-1.0,-5.0,33.0,6.0,37.0,59.0,18.0,2.0,185.0,42.0,36.0,0.6992068638699057,0.4088041497266227,0.290044696477445,0.7757807896287566,0.2844923877285594,33.887921368277404,84320.0,55779.0,75.0,215.0,1.0,2.0,1.0,4.0,6.0,2.0,1.0,0.0,0.1822429906542056,0.6294117647058823,289.0,0.5822424587364826,0.02621567302219685,214.0,0.5791420118343196,0.027294574408813,13.760735211199993,0.5775070262462746,0.015566761891828151,39,27.516254425048828,18.0,16.65089,15.0,7.6426425,4.0,1.4393059,2.0,1.7834152
8479420.0,38.0,30.0,68.0,457.0,348.0,42.0,49.0,393.0,0.40307692307692305,66.0,19.0,13.0,-2.0,73.0,0.5185735512630015,0.4814264487369985,1.0,-63.0,62.0,31.5,42.0,-10.0,23.0,65.0,6.0,-1.0,7.0,3.0,-11.0,11.0,6.0,0.0,2.0,20.0,7.0,63.0,59.0,6.0,3.0,299.0,25.0,-17.0,0.5748137802607076,0.20137116549066705,0.2774239819955731,0.6134556574923548,0.27451810698194384,29.628504741470824,85682.0,64828.0,79.0,218.0,2.0,2.0,1.0,12.0,9.0,1.0,1.0,0.0,0.15019762845849802,0.5536105032822757,25.0,0.5063035804336863,0.02848355508514383,-24.0,0.49230769230769234,0.02062484441125223,-2.0362088113,0.489557317084828,0.04394392597904512,38,24.272994995117188,25.0,15.101199,10.0,7.356438,1.0,0.1769005,2.0,1.638458
8478449.0,37.0,35.0,72.0,367.0,304.0,49.0,24.0,357.0,0.5296735905044511,82.0,-4.0,14.0,-4.0,64.0,0.5030674846625767,0.49693251533742333,0.0,-62.0,44.0,7.0,58.0,66.5,-18.0,72.0,3.5,4.0,3.0,6.0,8.5,17.5,-12.5,1.0,6.5,38.0,18.0,4.0,41.0,24.0,3.0,239.0,53.0,15.0,0.5266871564001558,0.27133264715973143,0.276572820725172,0.6247349823321555,0.27561412030406063,29.199304218014678,89150.0,66388.0,75.0,210.0,0.0,3.0,3.0,8.0,9.0,7.0,2.0,0.0,0.17370892018779344,0.5803814713896458,141.0,0.5338454152664426,0.06402709137505752,122.0,0.539002557544757,0.06753266535438102,16.1797062356,0.5828000322773241,0.09764851266278834,37,31.271636962890625,24.0,20.37364,9.0,7.62286,3.0,0.859053,1.0,2.4160836
