PlayerId,CFOnIce,CAOnIce,CorsiOn,CFOffIce,CAOffIce,CorsiOff,CFOn%,CFOff%,CF%,FFOnIce,FAOnIce,FenwickOn,FFOffIce,FAOffIce,FenwickOff,FFOn%,FFOff%,FF%,xGFOnIce,xGAOnIce,xGOn,xGFOffIce,xGAOffIce,xGOff,xGOn%,xGOff%,xG%
8465009,958.0,1252.0,-294.0,2028.0,2228.0,-200.0,0.4334841628959276,0.47650375939849626,-0.04301959650256865,734.0,925.0,-191.0,1516.0,1666.0,-150.0,0.4424352019288728,0.4764299182903834,-0.03399471636151058,46.6660867846,55.4906730043,-8.824586219700002,97.0205910436,104.9467119588,-7.926120915199988,0.45680860357192515,0.4803777126362236,-0.023569109064298432
8466138,342.0,291.0,51.0,1505.0,1102.0,403.0,0.5402843601895735,0.5772919064058305,-0.037007546216257015,253.0,220.0,33.0,1113.0,845.0,268.0,0.5348837209302325,0.5684371807967313,-0.033553459866498825,14.3930694598,15.913211743,-1.5201422832000002,74.0691736986,57.1611393976,16.908034300999994,0.4749203428651029,0.5644212221325927,-0.08950087926748984
8469455,599.0,581.0,18.0,2922.0,2477.0,445.0,0.5076271186440678,0.5412113354324875,-0.03358421678841961,443.0,458.0,-15.0,2212.0,1896.0,316.0,0.4916759156492786,0.5384615384615384,-0.04678562281225984,27.0894417629,24.501676599,2.587765163900002,138.6322967858,109.33766538309999,29.29463140270002,0.5250795606498333,0.5590689113037541,-0.033989350653920836
8470281,1040.0,960.0,80.0,2102.0,1912.0,190.0,0.52,0.5236671649227703,-0.003667164922770305,752.0,717.0,35.0,1575.0,1477.0,98.0,0.5119128658951668,0.5160550458715596,-0.004142179976392768,46.6891859212,45.628734251400004,1.0604516697999955,98.4157947363,92.3727125124,6.043082223900001,0.5057434768234453,0.5158371232917678,-0.010093646468322448
8470600,1509.0,1446.0,63.0,2113.0,2323.0,-210.0,0.5106598984771573,0.47633002705139765,0.03432987142575966,1093.0,1105.0,-12.0,1614.0,1689.0,-75.0,0.49727024567788897,0.48864668483197093,0.008623560845918032,69.5571166686,65.58673282769999,3.9703838409000127,99.6157299595,93.9791551147,5.636574844799995,0.5146894729419733,0.5145576543580674,0.00013181858390587387
8470604,861.0,968.0,-107.0,2749.0,2375.0,374.0,0.47074904319300165,0.5364949258391881,-0.06574588264618647,668.0,717.0,-49.0,2127.0,1787.0,340.0,0.48231046931407945,0.5434338272866632,-0.06112335797258378,40.1795504832,41.5106229862,-1.3310725029999944,128.24548284719998,105.4458235156,22.799659331599983,0.491852921554276,0.5487815736204668,-0.056928652066190744
8470606,732.0,683.0,49.0,2375.0,1932.0,443.0,0.5173144876325089,0.551427908056652,-0.034113420424143115,577.0,519.0,58.0,1824.0,1414.0,410.0,0.5264598540145985,0.5633106856084003,-0.03685083159380176,32.350897954800004,33.3866938813,-1.0357959264999934,106.3971003842,86.82934807710001,19.567752307099994,0.4921217381290565,0.5506342492524233,-0.058512511123366806
8470610,891.0,982.0,-91.0,2506.0,2998.0,-492.0,0.47570742124933263,0.45530523255813954,0.02040218869119309,689.0,731.0,-42.0,1848.0,2226.0,-378.0,0.4852112676056338,0.4536082474226804,0.03160302018295341,44.2180361913,44.1350708905,0.08296530079999798,117.9661366052,136.1571929914,-18.19105638619999,0.5004695098086545,0.4642082125732478,0.036261297235406664
8470612,737.0,732.0,5.0,1634.0,1899.0,-265.0,0.5017018379850239,0.4624964619303708,0.039205376054653074,567.0,561.0,6.0,1246.0,1444.0,-198.0,0.5026595744680851,0.46319702602230484,0.03946254844578023,33.1831465724,35.799301639199996,-2.6161550667999975,74.3978765195,84.6682894579,-10.2704129384,0.48103753103416186,0.4677165383496475,0.013320992684514366
8470613,1354.0,1653.0,-299.0,2095.0,2464.0,-369.0,0.45028267376122383,0.4595305988155297,-0.009247925054305883,1021.0,1171.0,-150.0,1586.0,1787.0,-201.0,0.4657846715328467,0.47020456566854435,-0.004419894135697655,62.6176243328,69.47167135839999,-6.854047025599989,92.999978189,105.72563276240001,-12.725654573400007,0.47405525182894653,0.467981845640137,0.006073406188809527
8470619,508.0,515.0,-7.0,2628.0,2422.0,206.0,0.4965786901270772,0.5203960396039604,-0.023817349476883187,403.0,371.0,32.0,2026.0,1837.0,189.0,0.520671834625323,0.5244628527051515,-0.003791018079828512,20.996657327999998,20.010952077599995,0.9857052504000023,124.47716684490001,109.982782371,14.494384473900013,0.5120185651478796,0.5309101501607701,-0.018891585012890566
8470621,806.0,776.0,30.0,2746.0,2656.0,90.0,0.5094816687737042,0.5083302480562755,0.0011514207174286861,624.0,587.0,37.0,2114.0,2034.0,80.0,0.5152766308835673,0.5096432015429122,0.005633429340655138,42.9259319022,32.3940092303,10.531922671899999,131.7355800534,125.3799671443,6.355612909100017,0.5699145705210567,0.5123594488516345,0.057555121669422116
8470626,664.0,818.0,-154.0,2202.0,2812.0,-610.0,0.44804318488529016,0.43917032309533305,0.00887286178995711,488.0,633.0,-145.0,1659.0,2173.0,-514.0,0.43532560214094557,0.4329331941544885,0.002392407986457068,25.8709830485,38.8696838054,-12.9987007569,99.122760931,137.6386155816,-38.51585465059999,0.39960946196125763,0.4186610265197747,-0.019051564558517087
8470638,1144.0,600.0,544.0,2296.0,2246.0,50.0,0.6559633027522935,0.5055041831792162,0.15045911957307734,917.0,463.0,454.0,1831.0,1708.0,123.0,0.6644927536231884,0.5173777903362532,0.14711496328693519,50.716514430900006,23.1354156573,27.581098773600004,101.17879173029999,90.2170641667,10.961727563599993,0.686732416746999,0.5286362719616539,0.15809614478534517
